name,status,state,zipcode,TSR,latitude,longitude
KPLU-FM,Member,WA,98447-0003,7404732,47.142743,-122.440734
WSLU-FM,Member,NY,13617,2440898,44.597147,-75.205461
KUVO-FM,Member,CO,80201-2040,693102,39.75,-104.99
KBIA-FM,Member,MO,65211,1392518,38.933139,-92.373804
KERA-FM,Member,TX,75201,10247973,32.78633,-96.796253
KTTZ-FM,Member,TX,79409,811797,33.588644,-101.882043
KUAC-FM,Member,AK,99775-5620,2132014,64.81707,-147.87928
KUAR-FM,Member,AR,72204,1270952,34.717944,-92.37149
WBAA-FM,Member,IN,47907-2005,1793269,40.440178,-86.926101
KUNR-FM,Member,NV,89557,1465770,39.544587,-119.816732
KUSP-FM,Member,CA,95062,880938,36.96779,-121.987122
KNOW-FM,Member,MN,55101,23149337,44.951319,-93.090184
KAZU-FM,Member,CA,93955,1441510,36.621687,-121.799317
WNCK-FM,Member,MA,,92842,33.77774,-117.950263
WFIT-FM,Member,FL,32901-6988,2186850,28.060015,-80.621591
KWGS-FM,Member,OK,74104,1602442,36.142324,-95.956825
KACU-FM,Member,TX,79699-7820,320109,32.468278,-99.707941
WNYC-FM,Member,NY,10013,53388267,40.721786,-74.009447
WYEP-FM,Member,PA,15203,1568993,40.429303,-79.972424
WAER-FM,Member,NY,13244-4610,1531018,43.047826,-76.143229
KRVS-FM,Member,LA,70504,768113,30.214876,-92.019361
KAMU-FM,Member,TX,77843-4244,645828,30.61,-96.34
WBGO-FM,Member,NJ,07102-4302,4799057,40.735075,-74.173906
KALW-FM,Member,CA,94134,2464116,37.720204,-122.409915
WYPR-FM,Member,MD,21218,4907035,39.332213,-76.600833
KUNC-FM,Member,CO,80634-2950,2785628,40.396264,-104.7871
KPBS-FM,Member,CA,92182-0527,8896833,32.775988,-117.072053
KIOS-FM,Member,NE,68131,1220467,41.26447,-95.964754
KANW-FM,Member,NM,87106,549612,35.072976,-106.617342
KASU-FM,Member,AR,72467,835375,35.8417,-90.676899
KSUT-FM,Member,CO,81137,1087290,37.095279,-107.71625
KRWG-FM,Member,NM,88003,942345,32.277755,-106.745579
KETR-FM,Member,TX,75429,683585,33.250187,-95.898125
KDAQ-FM,Member,LA,71115,1078964,32.239218,-93.520564
KWMU-FM,Member,MO,63108,7239163,38.647459,-90.25731
KUNM-FM,Member,NM,87131-0001,2499327,35.09,-106.62
KWIT-FM,Member,IA,51106,811146,42.464404,-96.333242
KUER-FM,Member,UT,84112,3626247,40.76522,-111.841954
WVPN-FM,Member,WV,25301-1292,2741356,38.351711,-81.633647
WMVY-FM,Member,MA,02539,1149580,41.3845,-70.522612
WDET-FM,Member,MI,48201,3908259,42.348495,-83.0603
KUSU-FM,Member,UT,84322-8505,1132760,41.657733,-111.843444
WXXI-FM,Member,NY,14603-3021,2562569,43.161471,-77.606867
KUSD-FM,Member,SD,57069,1705324,42.846759,-96.963862
WUAL-FM,Member,AL,35487,1615451,33.207199,-87.548202
WOUB-FM,Member,OH,45701,1504430,39.322184,-82.106068
WGVU-FM,Member,MI,49504-6492,1405113,42.988062,-85.715375
WSIU-FM,Member,IL,62901,1531216,37.727775,-89.214839
WUOM-FM,Member,MI,48103-4943,7043346,42.247586,-83.826088
KUWR-FM,Member,WY,82071,3087571,41.312507,-105.585578
WOSU-FM,Member,OH,43210,3072723,39.999063,-83.017339
KOPB-FM,Member,OR,97219-3099,11521069,45.461809,-122.71819
WTEB-FM,Member,NC,28562,1435351,35.121796,-77.171523
WOUB-AM,Member,OH,45701,182151,39.322184,-82.106068
WXXI-AM,Member,NY,14603-3021,2018022,43.161471,-77.606867
KEMC-FM,Member,MT,59101-0298,1618154,45.557643,-108.394214
WCLK-FM,Member,GA,30314,1606455,33.753997,-84.412014
WTSU-FM,Member,AL,36082,1141150,31.802095,-85.952169
WNRN-FM,Member,VA,22903,520591,38.033595,-78.588795
WJSU-FM,Member,MS,39204,596169,32.282195,-90.229156
WFUV-FM,Member,NY,10458,7616198,40.862179,-73.88601
WFCR-FM,Member,MA,1103,5453042,42.103483,-72.589219
WNYC-AM,Member,NY,10013,,40.721786,-74.009447
WNIN-FM,Member,IN,47708,464750,37.973424,-87.575423
WNCU-FM,Member,NC,27707,637995,35.953096,-78.957107
WMOT-FM,Member,TN,37132,553875,35.843456,-86.37066
WUKY-FM,Member,KY,40506-0045,1336472,38.019614,-84.499449
WRNI-FM,Member,RI,02903-1758,2656813,41.816736,-71.409156
WHQR-FM,Member,NC,28401-3920,1122916,34.302365,-77.985285
WMKY-FM,Member,KY,40351-1689,762775,38.256362,-83.378939
WGBH-FM,Member,MA,02135-2016,7521996,42.34635,-71.202676
WFSU-FM,Member,FL,32310-6010,3180370,30.419161,-84.350491
WGTE-FM,Member,OH,43614-0030,998964,41.599316,-83.629522
WCSU-FM,Member,OH,45384,703694,39.706042,-83.883082
WIAA-FM,Member,MI,49643-0199,2760492,44.643379,-85.828146
WGLT-FM,Member,IL,61790-8910,1445464,40.510264,-88.997958
WRVO-FM,Member,NY,13126-3599,2621720,43.424492,-76.479443
WCMU-FM,Member,MI,48859,2795664,43.590779,-84.778879
KVCR-FM,Member,CA,92410,1035350,34.096196,-117.308758
WSKG-FM,Member,NY,13902-3000,1895195,42.101765,-75.906578
WBFO-FM,Member,NY,14240,1541038,42.886901,-78.822691
WUOT-FM,Member,TN,37996-0322,1923015,35.943356,-83.938699
WESM-FM,Member,MD,21853,512343,38.216912,-75.737149
WGCU-FM,Member,FL,33965-6565,1768436,26.458827,-81.762295
WCVE-FM,Member,VA,23235,2973531,37.521339,-77.573405
WGVU-AM,Member,MI,49504-6492,0,42.988062,-85.715375
