name,latitude,longitude,TSR,total products,product names,Core Publisher,Composer Pro,Springboard Donation Forms
WMEH-FM,44.850412,-68.861862,5991073,17,"Story API, MSA > News Bundle, NPR News Content & Marks, Analytics Service: Google Premium, Analytics, Analytics Service: Chartbeat, Live Streaming, Composer Pro, Events, Sound Exchange Reporting, Analytics Service: Triton Webcast Metrics, Composer 2, Coaching & Development Webinars, Coaching & Development Conference, Distribution: iTunes Radio, Core Publisher, Distribution: NPR One app",1,1,0
WIAA-FM,44.643379,-85.828146,2760492,16,"Live Streaming, Events, Analytics Service: Triton Webcast Metrics, Mobile Site, Composer 2, Analytics Service: Google Premium, Analytics, Core Publisher, Distribution: iTunes Radio, Story API, MSA > News Bundle, NPR News Content & Marks, Sound Exchange Reporting, Coaching & Development Webinars, Coaching & Development Conference, Analytics Service: Chartbeat",1,0,0
WSLU-FM,44.597147,-75.205461,2440898,18,"Analytics, Quick Pledge, Pulse, Live Streaming, Composer Pro, Analytics Service: Triton Webcast Metrics, Composer 2, Coaching & Development Webinars, Coaching & Development Conference, MSA > News Bundle, Story API, NPR News Content & Marks, Analytics Service: Google Premium, Analytics Service: Chartbeat, Sound Exchange Reporting, Distribution: iTunes Radio, Springboard Donation Forms, Core Publisher",1,1,1
WVPS-FM,44.564903,-73.235489,7130350,14,"Analytics Service: Google Premium, Analytics, Analytics Service: Chartbeat, Core Publisher, Composer Pro, Sound Exchange Reporting, Analytics Service: Triton Webcast Metrics, Mobile Site, Composer 2, Coaching & Development Webinars, Coaching & Development Conference, Distribution: iTunes Radio, Distribution: NPR One app, Springboard Donation Forms",1,1,1
KLCC-FM,44.063717,-123.084706,2095942,17,"Analytics Service: Google Premium, Analytics, Analytics Service: Chartbeat, Core Publisher, Quick Pledge, Sound Exchange Reporting, Analytics Service: Triton Webcast Metrics, Mobile Site, Composer 2, Coaching & Development Webinars, Story API, MSA > News Bundle, NPR News Content & Marks, Live Streaming, Coaching & Development Conference, Distribution: iTunes Radio, Springboard Donation Forms",1,0,1
KBSW-FM,43.605067,-116.207043,2058512,10,"Events, Sound Exchange Reporting, Mobile Site, Composer 2, Core Publisher, Analytics, Analytics Service: Chartbeat, Composer Pro, Distribution: NPR One app, Distribution: iTunes Radio",1,1,0
WCMU-FM,43.590779,-84.778879,2795664,28,"Pulse, Composer 2, Live Streaming, Composer Pro, Analytics Service: Triton Webcast Metrics, Coaching & Development Webinars, MSA > News Bundle, Story API, NPR News Content & Marks, Analytics Service: Google Premium, Analytics, Analytics Service: Chartbeat, Core Publisher, Sound Exchange Reporting, Coaching & Development Conference, Distribution: iTunes Radio, Distribution: NPR One app, Springboard Donation Forms, NPR Music Video Platform, Schedule and stream API, NPR Music Content, Station Connect API, Distribution: Connected Platforms, Distribution Streaming, Exact Target Email Marketing, Distribution: NPR.org and apps, MSA > Music Bundle, NPR Music Training",1,1,1
WRVO-FM,43.424492,-76.479443,2621720,30,"MSA > News Bundle, Story API, NPR News Content & Marks, Analytics Service: Google Premium, Analytics, Analytics Service: Chartbeat, Core Publisher, Pulse, Live Streaming, Composer Pro, Events, Sound Exchange Reporting, Analytics Service: Triton Webcast Metrics, Mobile Site, Composer 2, Coaching & Development Webinars, Coaching & Development Conference, Distribution: Connected Platforms, Station Connect API, Distribution: NPR One app, NPR Music Training, MSA > Music Bundle, Springboard Donation Forms, Schedule and stream API, Distribution Streaming, NPR Music Video Platform, NPR Music Content, Exact Target Email Marketing, Distribution: NPR.org and apps, Distribution: iTunes Radio",1,1,1
WBLV-FM,43.36284,-86.195517,942478,4,"Analytics Service: Triton Webcast Metrics, Composer 2, Analytics, Live Streaming",0,0,0
WEVO-FM,43.208634,-71.548656,5655144,29,"Analytics Service: Google Premium, Analytics, Analytics Service: Chartbeat, Core Publisher, Composer Pro, Events, Composer 2, Coaching & Development Webinars, Sound Exchange Reporting, Analytics Service: Triton Webcast Metrics, Mobile Site, Distribution: iTunes Radio, Story API, MSA > News Bundle, NPR News Content & Marks, Live Streaming, Coaching & Development Conference, NPR Music Content, Exact Target Email Marketing, Distribution: Connected Platforms, NPR Music Video Platform, Distribution: NPR.org and apps, MSA > Music Bundle, Distribution Streaming, NPR Music Training, Station Connect API, Springboard Donation Forms, Schedule and stream API, Distribution: NPR One app",1,1,1
WXXI-AM,43.161471,-77.606867,2018022,16,"Analytics Service: Google Premium, Analytics, Analytics Service: Chartbeat, Core Publisher, Live Streaming, Composer Pro, Sound Exchange Reporting, Analytics Service: Triton Webcast Metrics, Mobile Site, Composer 2, MSA > News Bundle, Story API, NPR News Content & Marks, Coaching & Development Webinars, Coaching & Development Conference, Distribution: iTunes Radio",1,1,0
WXXI-FM,43.161471,-77.606867,2562569,6,"Analytics Service: Chartbeat, Core Publisher, Composer 2, Pulse, Distribution: iTunes Radio, Analytics Service: Triton Webcast Metrics",1,0,0
WCNY-FM,43.120144,-76.133445,631951,2,"Sound Exchange Reporting, Analytics Service: Triton Webcast Metrics",0,0,0
